Rk,Team,G,MP,FG%,Dist., ,2P,0-3,3-10,10-16,16-3P,3P, ,2P,0-3,3-10,10-16,16-3P,3P, ,2P,3P, ,%FGA,Md., ,%FGA,Md., ,%3PA,3P%, ,Att.,Md.,Year
23,Portland Trail Blazers,82,19980,.448,11.5,,.830,.300,.171,.141,.218,.170,,.469,.597,.410,.415,.375,.346,,.571,.866,,.055,339,,.219,722,,.188,.362,,10,0,2004
24,Sacramento Kings*,82,19780,.462,13.0,,.777,.277,.128,.089,.284,.223,,.480,.636,.340,.383,.421,.401,,.653,.862,,.035,220,,.226,908,,.307,.422,,12,0,2004
25,San Antonio Spurs*,82,19755,.442,11.6,,.823,.282,.197,.144,.200,.177,,.460,.623,.373,.383,.371,.358,,.543,.868,,.039,228,,.234,856,,.363,.394,,12,0,2004
26,Seattle SuperSonics,82,19805,.446,13.5,,.706,.245,.158,.121,.182,.294,,.476,.655,.377,.389,.380,.373,,.519,.876,,.052,305,,.179,698,,.272,.408,,19,0,2004
27,Toronto Raptors,82,19980,.418,13.1,,.796,.252,.123,.155,.267,.204,,.434,.575,.398,.346,.368,.356,,.519,.944,,.041,238,,.177,553,,.451,.405,,8,0,2004
28,Utah Jazz,82,19780,.436,11.5,,.873,.357,.085,.104,.327,.127,,.453,.555,.353,.357,.397,.321,,.598,.845,,.041,232,,.284,889,,.229,.361,,8,0,2004
29,Washington Wizards,82,19830,.421,11.9,,.806,.290,.180,.123,.213,.194,,.440,.618,.317,.340,.358,.341,,.511,.808,,.053,325,,.225,806,,.214,.371,,4,0,2004
,League Average,82,19825,.439,12.0,,.813,.297,.147,.141,.229,.187,,.460,.592,.382,.377,.388,.347,,.565,.857,,.047,280,,.226,782,,.261,.378,,11.6,0.3,2004
Rk,Team,G,MP,FG%,Dist., ,2P,0-3,3-10,10-16,16-3P,3P, ,2P,0-3,3-10,10-16,16-3P,3P, ,2P,3P, ,%FGA,Md., ,%FGA,Md., ,%3PA,3P%, ,Att.,Md.,2005
1,Atlanta Hawks,82,19855,.441,10.4,,.854,.371,.141,.139,.204,.146,,.463,.579,.341,.331,.426,.312,,.511,.872,,.056,354,,.289,985,,.265,.295,,16,0,2005
2,Boston Celtics*,82,19880,.468,11.3,,.808,.364,.119,.113,.212,.192,,.496,.614,.360,.379,.433,.349,,.543,.899,,.049,305,,.296,1065,,.296,.381,,12,0,2005
3,Charlotte Bobcats,82,19880,.432,11.7,,.872,.284,.149,.145,.294,.128,,.442,.574,.375,.351,.392,.363,,.570,.903,,.036,232,,.223,791,,.344,.413,,6,0,2005
4,Chicago Bulls*,82,19830,.432,12.3,,.783,.297,.144,.128,.214,.217,,.453,.566,.374,.367,.401,.357,,.569,.806,,.044,272,,.229,743,,.234,.402,,5,0,2005
5,Cleveland Cavaliers,82,19855,.447,11.2,,.865,.312,.161,.159,.233,.135,,.465,.609,.402,.358,.390,.332,,.599,.797,,.056,352,,.217,765,,.292,.360,,4,0,2005
6,Dallas Mavericks*,82,19730,.457,12.3,,.810,.287,.132,.148,.243,.190,,.479,.594,.440,.399,.413,.364,,.472,.834,,.046,287,,.219,756,,.242,.370,,20,0,2005
7,Denver Nuggets*,82,19755,.459,11.1,,.858,.364,.102,.117,.274,.142,,.479,.627,.360,.360,.377,.340,,.617,.878,,.083,499,,.261,955,,.304,.399,,23,0,2005
8,Detroit Pistons*,82,19955,.444,11.5,,.836,.321,.117,.183,.215,.164,,.463,.576,.393,.413,.377,.345,,.592,.865,,.066,379,,.225,723,,.273,.355,,8,0,2005
9,Golden State Warriors,82,19905,.430,13.3,,.748,.254,.155,.092,.248,.252,,.457,.642,.328,.364,.382,.352,,.542,.814,,.041,270,,.201,825,,.246,.358,,10,0,2005
10,Houston Rockets*,82,19855,.443,13.4,,.763,.254,.134,.119,.256,.237,,.468,.590,.435,.394,.399,.364,,.561,.808,,.045,251,,.188,635,,.277,.391,,11,0,2005
11,Indiana Pacers*,82,19905,.432,13.2,,.745,.270,.140,.137,.199,.255,,.463,.582,.407,.397,.384,.344,,.481,.860,,.036,203,,.213,663,,.272,.403,,10,0,2005
12,Los Angeles Clippers,82,20030,.459,11.4,,.895,.298,.151,.156,.290,.105,,.473,.590,.449,.397,.405,.345,,.632,.861,,.052,305,,.229,750,,.302,.411,,13,0,2005
13,Los Angeles Lakers,82,19780,.437,12.7,,.727,.329,.118,.092,.188,.273,,.467,.562,.411,.377,.382,.355,,.491,.880,,.045,269,,.255,857,,.250,.352,,29,0,2005
14,Memphis Grizzlies*,82,19705,.447,11.4,,.763,.354,.145,.089,.176,.237,,.475,.578,.388,.369,.390,.357,,.546,.896,,.065,358,,.269,861,,.310,.369,,15,0,2005
15,Miami Heat*,82,19980,.486,11.5,,.802,.336,.137,.111,.218,.198,,.513,.652,.423,.376,.427,.377,,.528,.855,,.084,499,,.230,838,,.255,.374,,7,1,2005
16,Milwaukee Bucks,82,19780,.450,11.1,,.859,.331,.128,.177,.224,.141,,.467,.558,.395,.412,.416,.351,,.543,.880,,.044,261,,.261,872,,.266,.370,,8,0,2005
17,Minnesota Timberwolves,82,19755,.459,13.2,,.827,.225,.138,.180,.285,.173,,.483,.618,.435,.426,.436,.345,,.593,.876,,.030,181,,.173,656,,.211,.388,,13,0,2005
18,New Jersey Nets*,82,19905,.429,12.9,,.813,.276,.118,.119,.299,.187,,.444,.538,.402,.365,.407,.362,,.597,.890,,.038,217,,.217,669,,.279,.390,,12,0,2005
19,New Orleans Hornets,82,19930,.415,12.6,,.799,.304,.096,.122,.277,.201,,.440,.537,.374,.382,.381,.315,,.601,.822,,.044,256,,.237,724,,.227,.331,,9,0,2005
20,New York Knicks,82,19880,.451,12.1,,.812,.300,.140,.122,.251,.188,,.473,.586,.396,.419,.407,.356,,.515,.812,,.040,239,,.237,832,,.261,.395,,16,0,2005
21,Orlando Magic,82,19705,.454,11.6,,.863,.327,.106,.154,.276,.137,,.471,.597,.373,.399,.400,.349,,.487,.813,,.069,422,,.233,800,,.204,.385,,7,0,2005
22,Philadelphia 76ers*,82,19855,.437,12.0,,.784,.323,.120,.129,.213,.216,,.462,.587,.374,.349,.391,.348,,.521,.869,,.050,317,,.247,846,,.253,.414,,7,0,2005
23,Phoenix Suns*,82,19780,.477,13.0,,.711,.300,.119,.120,.172,.289,,.512,.640,.421,.418,.416,.393,,.483,.869,,.078,505,,.204,792,,.312,.413,,22,1,2005
24,Portland Trail Blazers,82,19730,.451,11.1,,.819,.335,.161,.110,.213,.181,,.471,.611,.382,.341,.384,.362,,.553,.840,,.076,446,,.235,794,,.213,.397,,10,0,2005
25,Sacramento Kings*,82,19855,.459,13.4,,.800,.258,.125,.081,.336,.200,,.480,.618,.435,.380,.415,.374,,.582,.852,,.039,238,,.199,794,,.254,.418,,9,0,2005
26,San Antonio Spurs*,82,19805,.453,11.6,,.784,.293,.201,.118,.173,.216,,.478,.637,.399,.378,.369,.363,,.536,.939,,.034,187,,.254,970,,.431,.388,,8,0,2005
27,Seattle SuperSonics*,82,19755,.444,12.9,,.719,.276,.160,.118,.165,.281,,.474,.605,.397,.397,.385,.365,,.411,.865,,.040,234,,.221,791,,.239,.399,,19,0,2005
28,Toronto Raptors,82,19805,.444,12.9,,.747,.283,.123,.136,.206,.253,,.463,.564,.403,.402,.401,.385,,.488,.843,,.040,232,,.210,700,,.384,.416,,13,0,2005
29,Utah Jazz,82,19780,.449,11.6,,.879,.336,.093,.137,.312,.121,,.465,.589,.363,.378,.402,.328,,.625,.860,,.042,243,,.269,911,,.252,.380,,14,0,2005
30,Washington Wizards*,82,19780,.437,12.5,,.780,.268,.188,.118,.206,.220,,.463,.664,.323,.345,.396,.343,,.478,.763,,.053,339,,.204,823,,.208,.321,,8,1,2005
,League Average,82,19838,.447,12.1,,.804,.304,.135,.129,.236,.196,,.470,.596,.391,.383,.400,.356,,.544,.854,,.051,305,,.231,806,,.272,.384,,12.1,0.1,2005
Rk,Team,G,MP,FG%,Dist., ,2P,0-3,3-10,10-16,16-3P,3P, ,2P,0-3,3-10,10-16,16-3P,3P, ,2P,3P, ,%FGA,Md., ,%FGA,Md., ,%3PA,3P%, ,Att.,Md.,2006
1,Atlanta Hawks,82,19880,.454,11.3,,.822,.342,.132,.118,.231,.178,,.472,.583,.371,.377,.414,.367,,.504,.837,,.047,290,,.272,922,,.278,.383,,11,0,2006
2,Boston Celtics,82,19880,.467,12.0,,.796,.341,.117,.111,.228,.204,,.494,.602,.381,.411,.430,.362,,.523,.895,,.042,247,,.283,961,,.267,.390,,14,2,2006
3,Charlotte Bobcats,82,19905,.433,11.9,,.816,.328,.120,.107,.261,.184,,.454,.566,.407,.364,.371,.339,,.527,.893,,.040,244,,.265,939,,.315,.411,,18,1,2006
4,Chicago Bulls*,82,19905,.446,13.0,,.781,.292,.106,.114,.269,.219,,.465,.551,.420,.410,.412,.379,,.552,.813,,.025,158,,.247,868,,.284,.389,,12,0,2006
5,Cleveland Cavaliers*,82,19830,.454,11.9,,.772,.351,.121,.103,.198,.228,,.487,.616,.375,.348,.399,.339,,.482,.803,,.054,317,,.252,920,,.365,.360,,15,0,2006
6,Dallas Mavericks*,82,19880,.462,11.8,,.825,.287,.143,.178,.218,.175,,.481,.571,.423,.425,.447,.374,,.435,.894,,.035,195,,.227,754,,.232,.422,,19,0,2006
7,Denver Nuggets*,82,19930,.461,11.4,,.839,.367,.088,.103,.280,.161,,.487,.613,.368,.377,.401,.325,,.591,.886,,.075,466,,.269,963,,.303,.319,,20,1,2006
8,Detroit Pistons*,82,19830,.455,13.2,,.779,.269,.086,.174,.249,.221,,.475,.608,.405,.415,.398,.384,,.629,.797,,.059,347,,.188,647,,.293,.400,,4,0,2006
9,Golden State Warriors,82,19830,.433,13.1,,.730,.283,.152,.083,.211,.270,,.467,.633,.348,.357,.374,.341,,.519,.789,,.051,315,,.224,851,,.267,.380,,13,0,2006
10,Houston Rockets,82,19830,.433,12.6,,.774,.281,.151,.118,.225,.226,,.463,.577,.426,.367,.395,.332,,.531,.832,,.035,193,,.229,772,,.260,.391,,9,0,2006
11,Indiana Pacers*,82,19730,.444,12.9,,.755,.283,.141,.133,.198,.245,,.475,.603,.431,.363,.398,.349,,.531,.815,,.042,249,,.231,778,,.239,.376,,12,0,2006
12,Los Angeles Clippers*,82,19805,.465,11.9,,.869,.248,.174,.206,.242,.131,,.483,.593,.467,.469,.392,.344,,.537,.886,,.032,186,,.200,713,,.217,.393,,14,0,2006
13,Los Angeles Lakers*,82,19855,.453,12.8,,.760,.304,.121,.106,.229,.240,,.486,.600,.439,.396,.400,.349,,.515,.864,,.053,322,,.230,811,,.186,.380,,13,0,2006
14,Memphis Grizzlies*,82,19855,.448,12.0,,.742,.328,.145,.092,.178,.258,,.474,.603,.372,.335,.392,.374,,.494,.885,,.051,275,,.254,869,,.304,.386,,8,0,2006
15,Miami Heat*,82,19755,.478,11.4,,.773,.340,.162,.094,.177,.227,,.517,.669,.406,.360,.411,.345,,.485,.924,,.084,499,,.235,861,,.284,.401,,16,1,2006
16,Milwaukee Bucks*,82,19855,.453,11.4,,.797,.339,.134,.132,.192,.203,,.472,.575,.390,.395,.400,.380,,.536,.878,,.043,266,,.267,928,,.295,.401,,2,0,2006
17,Minnesota Timberwolves,82,19855,.456,12.5,,.851,.285,.118,.145,.304,.149,,.478,.601,.441,.406,.410,.329,,.570,.797,,.048,289,,.215,712,,.197,.414,,19,0,2006
18,New Jersey Nets*,82,19780,.440,12.9,,.771,.299,.114,.102,.257,.229,,.472,.569,.393,.360,.440,.330,,.634,.893,,.052,292,,.216,677,,.269,.373,,16,1,2006
19,New Orleans/Oklahoma City Hornets,82,19805,.440,11.2,,.862,.324,.133,.139,.267,.138,,.457,.572,.364,.363,.411,.339,,.497,.873,,.050,284,,.254,823,,.234,.386,,8,0,2006
20,New York Knicks,82,19930,.455,10.0,,.858,.383,.161,.108,.205,.142,,.470,.573,.391,.361,.397,.362,,.479,.844,,.063,353,,.300,938,,.381,.395,,15,0,2006
21,Orlando Magic,82,19905,.472,10.9,,.871,.358,.125,.130,.258,.129,,.486,.599,.385,.398,.424,.376,,.474,.863,,.075,419,,.257,825,,.198,.449,,12,0,2006
22,Philadelphia 76ers,82,19905,.458,11.1,,.842,.328,.150,.145,.220,.158,,.476,.590,.416,.395,.401,.364,,.502,.891,,.069,421,,.234,746,,.263,.399,,6,0,2006
23,Phoenix Suns*,82,19955,.479,14.4,,.707,.254,.089,.104,.260,.293,,.511,.662,.413,.415,.437,.399,,.569,.840,,.041,275,,.199,874,,.286,.420,,10,0,2006
24,Portland Trail Blazers,82,19730,.445,11.9,,.834,.310,.143,.097,.283,.166,,.464,.599,.367,.407,.386,.349,,.485,.860,,.050,281,,.233,780,,.283,.363,,16,1,2006
25,Sacramento Kings*,82,19830,.454,13.3,,.783,.281,.118,.070,.315,.217,,.483,.628,.427,.382,.397,.351,,.566,.874,,.040,246,,.225,847,,.247,.365,,10,0,2006
26,San Antonio Spurs*,82,19805,.472,11.8,,.785,.295,.187,.109,.194,.215,,.496,.657,.407,.399,.390,.385,,.504,.901,,.030,170,,.254,1005,,.408,.432,,8,0,2006
27,Seattle SuperSonics,82,19830,.459,12.5,,.757,.275,.173,.124,.184,.243,,.487,.615,.420,.401,.415,.371,,.481,.836,,.054,318,,.200,741,,.207,.412,,19,0,2006
28,Toronto Raptors,82,19955,.454,12.9,,.756,.279,.135,.128,.214,.244,,.479,.584,.431,.376,.433,.375,,.449,.842,,.039,236,,.207,708,,.352,.382,,13,1,2006
29,Utah Jazz,82,19880,.442,11.7,,.851,.348,.097,.109,.297,.149,,.461,.588,.337,.389,.378,.336,,.620,.846,,.032,181,,.289,1004,,.129,.370,,10,1,2006
30,Washington Wizards*,82,19830,.447,12.6,,.791,.287,.164,.093,.247,.209,,.471,.638,.354,.388,.385,.357,,.463,.757,,.047,299,,.223,853,,.179,.356,,10,0,2006
,League Average,82,19853,.454,12.2,,.798,.309,.133,.119,.236,.202,,.478,.601,.400,.391,.405,.358,,.523,.851,,.049,288,,.239,836,,.270,.390,,12.4,0.3,2006
Rk,Team,G,MP,FG%,Dist., ,2P,0-3,3-10,10-16,16-3P,3P, ,2P,0-3,3-10,10-16,16-3P,3P, ,2P,3P, ,%FGA,Md., ,%FGA,Md., ,%3PA,3P%, ,Att.,Md.,2007
1,Atlanta Hawks,82,19880,.444,11.7,,.837,.356,.097,.090,.294,.163,,.467,.572,.385,.398,.387,.329,,.518,.833,,.047,273,,.284,940,,.253,.373,,8,0,2007
2,Boston Celtics,82,19855,.443,12.0,,.801,.317,.152,.102,.230,.199,,.462,.585,.379,.368,.388,.367,,.499,.930,,.032,189,,.268,915,,.271,.414,,12,0,2007
3,Charlotte Bobcats,82,20005,.446,11.8,,.807,.335,.129,.095,.249,.193,,.467,.574,.381,.352,.410,.357,,.565,.921,,.040,251,,.272,950,,.352,.384,,14,1,2007
4,Chicago Bulls*,82,19780,.457,12.7,,.814,.302,.100,.118,.295,.186,,.473,.567,.386,.407,.432,.388,,.562,.810,,.041,259,,.240,805,,.223,.420,,11,0,2007
5,Cleveland Cavaliers*,82,19880,.447,12.1,,.789,.323,.129,.123,.214,.211,,.473,.622,.358,.373,.375,.352,,.519,.846,,.045,282,,.236,911,,.342,.363,,12,2,2007
6,Dallas Mavericks*,82,19755,.467,13.0,,.782,.269,.104,.163,.246,.218,,.491,.606,.401,.452,.430,.381,,.469,.880,,.035,210,,.216,762,,.328,.377,,14,0,2007
7,Denver Nuggets*,82,19780,.465,11.4,,.788,.370,.104,.100,.214,.212,,.500,.632,.393,.392,.373,.336,,.550,.924,,.074,461,,.263,1001,,.251,.318,,16,0,2007
8,Detroit Pistons*,82,19880,.454,12.4,,.799,.291,.110,.182,.216,.201,,.481,.602,.408,.404,.421,.344,,.561,.822,,.052,307,,.213,736,,.318,.352,,13,1,2007
9,Golden State Warriors*,82,19755,.463,12.3,,.721,.338,.135,.077,.172,.279,,.504,.654,.362,.359,.386,.356,,.525,.866,,.048,325,,.269,1139,,.339,.386,,15,0,2007
10,Houston Rockets*,82,19855,.445,13.2,,.710,.276,.145,.104,.185,.290,,.475,.578,.431,.385,.406,.372,,.518,.800,,.022,142,,.233,824,,.269,.399,,7,1,2007
11,Indiana Pacers,82,19780,.438,12.6,,.788,.272,.158,.146,.213,.212,,.462,.589,.416,.379,.392,.346,,.522,.898,,.033,201,,.225,796,,.269,.366,,11,2,2007
12,Los Angeles Clippers,82,19730,.456,12.2,,.857,.252,.157,.194,.255,.143,,.474,.619,.454,.406,.394,.348,,.572,.933,,.026,158,,.208,760,,.181,.380,,16,0,2007
13,Los Angeles Lakers*,82,20030,.466,12.4,,.741,.326,.122,.096,.196,.259,,.505,.611,.429,.428,.415,.353,,.537,.837,,.049,308,,.256,941,,.229,.392,,14,0,2007
14,Memphis Grizzlies,82,19980,.465,11.7,,.789,.343,.139,.100,.207,.211,,.491,.595,.425,.394,.410,.367,,.505,.836,,.070,402,,.252,823,,.163,.446,,17,0,2007
15,Miami Heat*,82,19855,.464,12.4,,.755,.304,.147,.094,.211,.245,,.503,.642,.432,.393,.402,.343,,.514,.856,,.054,315,,.228,830,,.263,.366,,12,0,2007
16,Milwaukee Bucks,82,19855,.465,11.4,,.781,.360,.124,.113,.183,.219,,.495,.600,.430,.419,.381,.356,,.512,.844,,.040,244,,.291,1106,,.260,.376,,5,0,2007
17,Minnesota Timberwolves,82,20005,.461,12.8,,.833,.267,.127,.133,.305,.167,,.483,.608,.426,.432,.419,.353,,.576,.896,,.037,214,,.211,766,,.259,.369,,24,1,2007
18,New Jersey Nets*,82,19880,.457,12.8,,.737,.332,.089,.077,.240,.263,,.490,.585,.422,.396,.413,.363,,.609,.916,,.060,347,,.244,809,,.273,.393,,11,0,2007
19,New Orleans/Oklahoma City Hornets,82,19880,.445,11.5,,.812,.307,.170,.119,.216,.188,,.464,.602,.404,.344,.382,.362,,.456,.855,,.049,285,,.235,850,,.217,.388,,8,0,2007
20,New York Knicks,82,20005,.457,10.8,,.784,.389,.142,.073,.180,.216,,.487,.600,.411,.328,.368,.346,,.475,.797,,.051,302,,.303,1054,,.261,.364,,17,0,2007
21,Orlando Magic*,82,19780,.472,10.8,,.842,.361,.150,.106,.225,.158,,.494,.631,.415,.360,.391,.356,,.483,.883,,.078,436,,.257,877,,.291,.382,,6,0,2007
22,Philadelphia 76ers,82,19880,.458,11.4,,.872,.321,.117,.171,.262,.128,,.474,.616,.381,.373,.408,.345,,.535,.887,,.069,407,,.231,778,,.213,.394,,16,0,2007
23,Phoenix Suns*,82,19905,.494,13.1,,.713,.310,.104,.097,.202,.287,,.532,.671,.455,.433,.407,.399,,.557,.856,,.063,389,,.235,979,,.315,.448,,15,0,2007
24,Portland Trail Blazers,82,19955,.450,12.2,,.807,.288,.162,.105,.253,.193,,.474,.589,.441,.380,.405,.346,,.464,.885,,.033,185,,.228,810,,.363,.396,,23,0,2007
25,Sacramento Kings,82,19805,.450,12.7,,.768,.294,.142,.077,.255,.232,,.480,.600,.418,.380,.408,.350,,.502,.858,,.035,206,,.244,907,,.194,.357,,4,0,2007
26,San Antonio Spurs*,82,19780,.474,12.7,,.753,.288,.155,.107,.204,.247,,.504,.653,.444,.406,.392,.381,,.523,.934,,.025,128,,.251,993,,.384,.406,,9,0,2007
27,Seattle SuperSonics,82,19830,.460,11.8,,.781,.291,.183,.137,.170,.219,,.487,.625,.421,.391,.401,.362,,.503,.811,,.061,359,,.207,761,,.235,.349,,14,0,2007
28,Toronto Raptors*,82,19755,.463,13.2,,.776,.277,.109,.117,.273,.224,,.492,.619,.429,.379,.437,.363,,.536,.906,,.040,229,,.200,746,,.329,.427,,13,1,2007
29,Utah Jazz*,82,19805,.474,11.4,,.837,.359,.107,.113,.257,.163,,.501,.621,.371,.401,.432,.335,,.632,.867,,.039,239,,.300,1127,,.159,.298,,13,0,2007
30,Washington Wizards*,82,19830,.450,13.2,,.763,.294,.121,.079,.269,.237,,.482,.626,.386,.355,.405,.348,,.487,.781,,.041,268,,.232,887,,.208,.352,,8,1,2007
,League Average,82,19856,.458,12.2,,.787,.314,.131,.113,.229,.213,,.485,.610,.411,.392,.404,.358,,.527,.863,,.046,277,,.244,886,,.271,.384,,12.6,0.3,2007
Rk,Team,G,MP,FG%,Dist., ,2P,0-3,3-10,10-16,16-3P,3P, ,2P,0-3,3-10,10-16,16-3P,3P, ,2P,3P, ,%FGA,Md., ,%FGA,Md., ,%3PA,3P%, ,Att.,Md.,2008
1,Atlanta Hawks*,82,19855,.454,11.5,,.835,.339,.140,.096,.261,.165,,.473,.602,.414,.342,.386,.356,,.572,.836,,.062,370,,.259,926,,.250,.387,,17,1,2008
2,Boston Celtics*,82,19755,.475,12.7,,.751,.320,.118,.102,.211,.249,,.506,.615,.405,.405,.447,.381,,.549,.874,,.045,267,,.270,967,,.253,.410,,15,0,2008
3,Charlotte Bobcats,82,19880,.452,12.0,,.780,.338,.114,.098,.229,.220,,.476,.586,.412,.358,.395,.367,,.526,.888,,.053,308,,.274,954,,.351,.372,,6,0,2008
4,Chicago Bulls,82,19805,.435,12.6,,.810,.306,.102,.120,.282,.190,,.452,.537,.392,.384,.411,.363,,.556,.873,,.046,284,,.239,800,,.232,.396,,11,0,2008
5,Cleveland Cavaliers*,82,19855,.439,12.7,,.769,.321,.105,.106,.238,.231,,.463,.602,.366,.357,.365,.358,,.498,.821,,.041,251,,.252,944,,.345,.383,,9,0,2008
6,Dallas Mavericks*,82,19730,.464,13.0,,.785,.264,.108,.170,.243,.215,,.495,.611,.398,.438,.453,.352,,.503,.903,,.039,239,,.209,759,,.279,.371,,19,0,2008
7,Denver Nuggets*,82,19855,.470,11.9,,.772,.362,.102,.100,.208,.228,,.504,.622,.400,.392,.404,.355,,.551,.907,,.076,488,,.259,1023,,.241,.403,,32,0,2008
8,Detroit Pistons*,82,19730,.458,13.5,,.797,.265,.085,.153,.295,.203,,.481,.613,.392,.405,.428,.366,,.566,.842,,.047,278,,.199,738,,.259,.366,,14,0,2008
9,Golden State Warriors,82,19780,.459,12.7,,.705,.345,.121,.068,.171,.295,,.506,.634,.378,.378,.390,.348,,.459,.815,,.047,319,,.281,1236,,.245,.390,,21,0,2008
10,Houston Rockets*,82,19730,.448,12.7,,.745,.315,.127,.096,.206,.255,,.485,.593,.410,.404,.403,.342,,.522,.846,,.040,243,,.260,955,,.204,.375,,12,0,2008
11,Indiana Pacers,82,19755,.444,14.0,,.711,.246,.138,.111,.216,.289,,.472,.616,.423,.380,.386,.374,,.496,.927,,.030,193,,.223,921,,.188,.398,,10,0,2008
12,Los Angeles Clippers,82,19805,.438,12.9,,.833,.261,.128,.153,.291,.167,,.460,.592,.428,.387,.395,.324,,.571,.917,,.034,202,,.212,747,,.151,.362,,16,2,2008
13,Los Angeles Lakers*,82,19780,.476,12.6,,.743,.328,.109,.093,.213,.257,,.510,.632,.427,.389,.417,.378,,.554,.863,,.069,439,,.248,953,,.280,.422,,13,0,2008
14,Memphis Grizzlies,82,19805,.454,12.4,,.736,.324,.142,.093,.178,.264,,.492,.610,.424,.362,.399,.349,,.420,.887,,.054,336,,.252,938,,.197,.389,,29,0,2008
15,Miami Heat,82,19830,.443,13.4,,.783,.268,.115,.107,.294,.217,,.467,.614,.391,.370,.397,.358,,.534,.829,,.051,284,,.200,699,,.221,.403,,11,0,2008
16,Milwaukee Bucks,82,19855,.449,11.6,,.805,.330,.149,.117,.210,.195,,.474,.561,.411,.381,.433,.344,,.535,.847,,.047,288,,.248,865,,.260,.411,,11,0,2008
17,Minnesota Timberwolves,82,19730,.451,11.6,,.815,.306,.181,.122,.206,.185,,.474,.589,.430,.379,.399,.350,,.474,.862,,.035,210,,.253,942,,.191,.358,,27,0,2008
18,New Jersey Nets,82,19830,.443,12.4,,.778,.347,.085,.090,.256,.222,,.470,.563,.365,.402,.403,.348,,.632,.873,,.068,384,,.260,824,,.259,.424,,23,0,2008
19,New Orleans Hornets*,82,19805,.466,12.8,,.761,.284,.137,.113,.227,.239,,.490,.617,.427,.400,.413,.389,,.484,.887,,.057,361,,.204,759,,.289,.439,,7,1,2008
20,New York Knicks,82,19880,.439,11.5,,.785,.353,.137,.101,.194,.215,,.467,.554,.406,.365,.406,.337,,.461,.792,,.044,266,,.284,975,,.249,.362,,21,1,2008
21,Orlando Magic*,82,19780,.474,12.8,,.678,.325,.126,.096,.132,.322,,.516,.635,.414,.405,.401,.386,,.446,.873,,.071,423,,.235,858,,.334,.413,,18,0,2008
22,Philadelphia 76ers*,82,19755,.460,10.9,,.857,.359,.116,.154,.227,.143,,.483,.614,.402,.396,.378,.317,,.516,.831,,.074,459,,.273,961,,.261,.367,,23,1,2008
23,Phoenix Suns*,82,19780,.500,12.7,,.740,.310,.116,.102,.211,.260,,.538,.671,.440,.439,.444,.393,,.600,.818,,.066,422,,.233,961,,.322,.401,,5,0,2008
24,Portland Trail Blazers,82,19905,.448,14.1,,.782,.214,.137,.121,.311,.218,,.468,.603,.430,.407,.416,.377,,.516,.920,,.048,276,,.153,531,,.379,.409,,29,1,2008
25,Sacramento Kings,82,19830,.464,12.0,,.792,.330,.124,.098,.239,.208,,.488,.599,.391,.397,.423,.373,,.451,.833,,.044,273,,.270,991,,.267,.389,,8,0,2008
26,San Antonio Spurs*,82,19730,.457,13.2,,.749,.248,.157,.116,.227,.251,,.487,.649,.401,.402,.413,.369,,.498,.928,,.017,94,,.225,923,,.414,.401,,11,0,2008
27,Seattle SuperSonics,82,19830,.444,11.6,,.866,.287,.159,.144,.277,.134,,.462,.594,.390,.377,.408,.333,,.527,.850,,.057,363,,.209,774,,.243,.377,,5,0,2008
28,Toronto Raptors*,82,19830,.468,13.6,,.783,.272,.085,.111,.314,.217,,.489,.603,.443,.426,.425,.392,,.549,.944,,.053,317,,.202,733,,.311,.412,,19,3,2008
29,Utah Jazz*,82,19705,.497,11.2,,.834,.375,.099,.100,.260,.166,,.522,.641,.425,.416,.429,.372,,.629,.882,,.057,341,,.298,1167,,.195,.404,,19,0,2008
30,Washington Wizards*,82,19905,.446,13.0,,.759,.285,.145,.098,.231,.241,,.475,.633,.384,.353,.388,.356,,.474,.805,,.043,283,,.225,849,,.181,.380,,7,0,2008
,League Average,82,19801,.457,12.5,,.778,.308,.124,.111,.235,.222,,.484,.607,.408,.391,.409,.362,,.523,.867,,.051,309,,.240,889,,.264,.395,,15.6,0.3,2008
Rk,Team,G,MP,FG%,Dist., ,2P,0-3,3-10,10-16,16-3P,3P, ,2P,0-3,3-10,10-16,16-3P,3P, ,2P,3P, ,%FGA,Md., ,%FGA,Md., ,%3PA,3P%, ,Att.,Md.,2009
1,Atlanta Hawks*,82,19705,.458,13.3,,.747,.267,.160,.101,.219,.253,,.490,.627,.461,.403,.384,.366,,.483,.868,,.055,314,,.211,790,,.285,.400,,17,0,2009
2,Boston Celtics*,82,19880,.486,12.1,,.786,.332,.123,.109,.223,.214,,.510,.633,.402,.411,.434,.397,,.541,.911,,.044,266,,.281,1042,,.301,.446,,5,0,2009
3,Charlotte Bobcats,82,19930,.455,11.6,,.787,.368,.119,.082,.219,.213,,.479,.566,.384,.398,.415,.366,,.539,.939,,.047,274,,.307,1002,,.299,.385,,18,1,2009
4,Chicago Bulls*,82,19930,.457,12.4,,.811,.330,.084,.104,.293,.189,,.474,.574,.386,.387,.418,.381,,.505,.817,,.048,300,,.265,951,,.246,.374,,13,0,2009
5,Cleveland Cavaliers*,82,19780,.468,13.7,,.741,.278,.101,.101,.262,.259,,.495,.644,.385,.391,.418,.393,,.484,.790,,.049,289,,.210,801,,.351,.412,,10,0,2009
